mirror refl. Whiple telescope Sept. 1993         (for 180-700nm in steps of 5nm)
0.623 0.637 0.651 0.665 0.680 0.697 0.713 0.737 
0.761 0.785 0.808 0.825 0.842 0.850 0.858 0.865 
0.873 0.875 0.877 0.882 0.887 0.887 0.887 0.887 
0.888 0.891 0.893 0.894 0.894 0.893 0.893 0.891 
0.888 0.885 0.882 0.882 0.880 0.877 0.875 0.872 
0.869 0.866 0.863 0.859 0.856 0.852 0.848 0.844 
0.840 0.836 0.833 0.829 0.825 0.821 0.817 0.813 
0.809 0.806 0.802 0.798 0.795 0.792 0.789 0.785 
0.783 0.780 0.778 0.776 0.774 0.772 0.771 0.770 
0.769 0.768 0.767 0.766 0.765 0.765 0.764 0.764 
0.763 0.763 0.763 0.763 0.763 0.763 0.763 0.763 
0.764 0.764 0.764 0.764 0.764 0.764 0.764 0.764 
0.765 0.765 0.765 0.765 0.765 0.765 0.765 0.765 
0.764

